COLEGIO,PRENDA,T3,T4,T6,T8,T10,T12,T14,T16,SMLXL,2XL
DUNALASTAIR,PANTALON DE BUZO,16000,16000,16000,18000,18000,20000,20000,20000,21000,23000
DUNALASTAIR,POLERON,18000,18000,18000,19000,19000,21000,21000,21000,22000,24000
DUNALASTAIR,POLERA CUELLO PIQUE M/CORTA,15000,15000,15000,16000,16000,17000,17000,17000,19000,21000
PUMAHUE,PANTALON BUZO,16000,16000,16000,18000,18000,20000,20000,20000,22000,
PUMAHUE,FALDA CAFE,18000,18000,18000,20000,20000,22000,22000,22000,24000,
MAYOR,PANTALON BUZO,16000,16000,16000,18000,18000,20000,20000,20000,22000,
MAYOR,FALDA,18000,18000,18000,20000,20000,22000,22000,22000,24000,
